Bulk mode; whois.cymru.com [2017-12-04 03:04:32 +0000]
NA      | 155.133.64.182   | NA                  | PL | ripencc  | 1991-11-07 | NA
NA      | 155.133.64.203   | NA                  | PL | ripencc  | 1991-11-07 | NA
NA      | 155.133.82.112   | NA                  | PL | ripencc  | 1991-11-07 | NA
NA      | 156.67.106.251   | NA                  | DE | ripencc  | 1992-03-27 | NA
NA      | 156.67.106.30    | NA                  | DE | ripencc  | 1992-03-27 | NA
NA      | 156.67.106.32    | NA                  | DE | ripencc  | 1992-03-27 | NA
3       | 18.248.1.85      | 18.248.0.0/16       | US | arin     | 1994-01-01 | MIT-GATEWAYS - Massachusetts Institute of Technology, US
3       | 18.85.22.204     | 18.85.0.0/18        | US | arin     | 1994-01-01 | MIT-GATEWAYS - Massachusetts Institute of Technology, US
25      | 192.150.187.46   | 192.150.186.0/23    | US | arin     | 1992-03-17 | UCB - University of California at Berkeley, US
209     | 205.168.84.133   | 205.168.0.0/14      | US | arin     | 1995-03-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 63.224.55.74     | 63.224.0.0/12       | US | arin     | 1999-06-07 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 65.129.141.14    | 65.129.128.0/17     | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 65.129.144.26    | 65.129.128.0/17     | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 65.129.144.43    | 65.129.128.0/17     | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 65.129.147.109   | 65.129.128.0/17     | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 65.129.155.46    | 65.129.128.0/17     | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.100.173     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.107.101     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 67.1.123.107     | 67.1.0.0/16         | US | arin     | 2001-07-26 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
