Bulk mode; whois.cymru.com [2017-12-04 03:58:34 +0000]
714     | 17.172.224.47    | 17.168.0.0/13       | US | arin     | 1990-04-16 | APPLE-ENGINEERING - Apple Inc., US
1313    | 192.147.130.204  | 192.147.130.0/24    | US | arin     | 1992-05-12 | ADOBE1-AS-AS - Adobe Systems Inc., US
2510    | 202.248.110.184  | 202.248.0.0/16      | JP | apnic    | 1995-03-29 | INFOWEB FUJITSU LIMITED, JP
2635    | 192.0.78.17      | 192.0.78.0/24       | US | arin     | 2012-11-20 | AUTOMATTIC - Automattic, Inc, US
2818    | 212.58.244.22    | 212.58.224.0/19     | GB | ripencc  | 1999-10-08 | BBC BBC Internet Services, UK, GB
2818    | 212.58.246.79    | 212.58.224.0/19     | GB | ripencc  | 1999-10-08 | BBC BBC Internet Services, UK, GB
3257    | 23.208.36.175    | 23.208.32.0/19      | US | arin     | 2013-07-12 | GTT-BACKBONE GTT, DE
3630    | 199.109.99.136   | 199.109.99.0/24     | US | arin     | 1994-01-11 | NYSERNET-BLK - NYSERNet, US
4134    | 124.225.65.154   | 124.225.0.0/16      | CN | apnic    | 2006-05-31 | CHINANET-BACKBONE No.31,Jin-rong Street, CN
4713    | 210.163.219.24   | 210.163.0.0/16      | JP | apnic    | 1997-08-04 | OCN NTT Communications Corporation, JP
4808    | 123.103.5.94     | 123.103.4.0/22      | CN | apnic    | 2006-12-06 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 123.125.104.197  | 123.125.64.0/18     | CN | apnic    | 2007-01-29 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 123.125.114.144  | 123.125.64.0/18     | CN | apnic    | 2007-01-29 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 123.126.51.90    | 123.126.0.0/18      | CN | apnic    | 2007-01-29 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 202.108.119.193  | 202.108.64.0/18     | CN | apnic    | 1998-08-17 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 202.108.33.60    | 202.108.0.0/18      | CN | apnic    | 1998-08-17 | CHINA169-BJ China Unicom Beijing Province Network, CN
4808    | 61.135.157.156   | 61.135.128.0/19     | CN | apnic    | 1999-06-24 | CHINA169-BJ China Unicom Beijing Province Network, CN
4837    | 42.236.9.70      | 42.224.0.0/12       | CN | apnic    | 2011-02-17 | CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
5602    | 212.97.32.174    | 212.97.32.0/19      | IT | ripencc  | 1999-06-29 | Internet Service Provider, IT
6623    | 64.30.228.118    | 64.30.228.0/23      | US | arin     | 2001-05-03 | CBSI-1 - CBS Interactive Inc., US
7162    | 200.221.2.45     | 200.221.0.0/18      | BR | lacnic   | 2000-04-03 | Universo Online S.A., BR
7743    | 159.53.116.62    | 159.53.96.0/19      | US | arin     | 1992-03-06 | AS-7743 - JPMorgan Chase & Co., US
8068    | 204.79.197.200   | 204.79.197.0/24     | US | arin     | 1994-12-15 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8068    | 204.79.197.212   | 204.79.197.0/24     | US | arin     | 1994-12-15 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 104.43.195.251   | 104.40.0.0/13       | US | arin     | 2014-05-07 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 13.82.28.61      | 13.64.0.0/11        | US | arin     | 2015-03-26 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 40.117.226.146   | 40.64.0.0/10        | US | arin     | 2015-02-23 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8075    | 40.84.199.233    | 40.64.0.0/10        | US | arin     | 2015-02-23 | MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
8137    | 199.181.132.250  | 199.181.132.0/24    | US | arin     | 1994-03-28 | DISNEYONLINE-AS - Disney Online, US
9583    | 223.31.160.61    | 223.31.160.0/24     | IN | apnic    | 2010-08-30 | SIFY-AS-IN Sify Limited, IN
9752    | 163.53.78.128    | 163.53.78.0/24      | IN | apnic    | 2014-07-09 | FKNET-IN Flipkart Internet Pvt Ltd, IN
9808    | 221.179.178.112  | 221.179.176.0/21    | CN | apnic    | 2003-09-09 | CMNET-GD Guangdong Mobile Communication Co.Ltd., CN
9924    | 103.23.108.107   | 103.23.108.0/22     | TW | apnic    | 2011-11-22 | TFN-TW Taiwan Fixed Network, Telco and Network Service Provider., TW
11643   | 66.135.209.52    | 66.135.192.0/19     | US | arin     | 2001-07-13 | EBAY - eBay, Inc, US
